address,type_object,type_permit,number_permit,date_permit,latitude_1,longitude_1,latitude_2,longitude_2
"ул. Бабушкина, 12/92","одноквартирный жилой дом этажностью-три","На строительство",RU61310002-53,20.11.2014,47.2121364546236,39.6794348030353,"420695,4607","2201334,959"
"1-я Баррикадная ул., 24-30","Жилой дом со встроен.нежилыми помещениями","На строительство",RU61310000-2263-3,30.06.2014,47.2138966855642,39.6814242819672,"420888,6345","2201488,933"
"ул. Токарная, 62","Индивидуальный, одноквартирный, двухэтажный жилой дом","На строительство","RU 61310000-33",12.05.2017,47.2128609640256,39.6846584984288,"420769,4084","2201732,01"
"пр-кт Стачки, 28","Котлы наружного размещения марки КСУВ-200, ГРПШ (поз. 4.1 по ПЗУ) - 1-й этап строительства","На строительство",61-310-890301-2016,17.08.2016,47.2123955231956,39.6674911965944,"420739,4476","2200430,682"
"пр-кт Стачки, 28","Поливочная насосная станция (поз. 4 по ПЗУ) - 1-й этап строительства","На строительство",61-310-890301-2016,17.08.2016,47.2123955231956,39.6674911965944,"420739,4476","2200430,682"
"пр-кт Стачки, 28","Резервуар для дождевых и дренажных вод (подземный) (поз. 5 по ПЗУ) - 1-й этап строительства","На строительство",61-310-890301-2016,17.08.2016,47.2123955231956,39.6674911965944,"420739,4476","2200430,682"
"пр-кт Стачки, 28","Физкультурно-оздоровительный корпус (поз. 2 по ПЗУ) - 1-й этап строительства","На строительство",61-310-890301-2016,17.08.2016,47.2123955231956,39.6674911965944,"420739,4476","2200430,682"
"ул. Подгорная, 19а","индивидуальный одноквартирный жилой дом с количеством этажей - два","На строительство",RU61310002-2,17.11.2014,47.2005227614191,39.6826256980389,"419400,3015","2201555,163"
"ул. Портовая, 175а","Индивидуальный, одноквартирный, двухэтажный жилой дом","На строительство",RU61310000-43,16.11.2016,47.2042914112274,39.6796514489999,"419823,0317","2201336,803"
"ул. Перекопская, 46","Индивидуальный, одноквартирный, двухэтажный жилой дом","На строительство","RU 61310000-7",15.04.2016,47.2046104881776,39.6819653618334,"419855,5788","2201512,706"
"пер. Деревянко, 32","Индивидуальный, одноквартирный, трехэтажный жилой дом","На строительство","RU 61310000-19",22.07.2016,47.2031472768774,39.6844807724528,"419689,7353","2201700,576"
"пер. Поповского, 23","двухэтажный одноквартирный жилой дом","На строительство",RU61310000-13,13.03.2015,47.2050360713953,39.6905106894252,"419892,1329","2202160,915"
"пер. Поповского, 23","двухэтажный одноквартирный жилой дом","На строительство",RU61310002-2,21.01.2015,47.2050360713953,39.6905106894252,"419892,1329","2202160,915"
"пер. Весенний, 29","Индивидуальный, одноквартирный, двухэтажный жилой дом","На строительство",RU61310000-41,09.11.2016,47.2069877846924,39.692040769873,"420107,1912","2202280,429"
"ул. 2-я Володарского, 102а","индивидуальный одноквартирный двухэтажный жилой дом","На строительство",RU61310000-,20.01.2015,47.2050175068741,39.6662899509009,"419920,7487","2200325,843"
"ул. 1-я Володарского, 43","индивидуальный, одноквартирный, двухэтажный жилой дом","На строительство",RU61310000-53,23.12.2016,47.2053494588305,39.6664392974661,"419957,4617","2200337,78"
"ул. Горбачева, 78","Индивидуальный, одноквартирный , двухэтажный жилой дом","На строительство","RU 61310000-15",22.03.2017,47.2066637275997,39.6662709570346,"420103,7876","2200327,492"
"ул. Курортная, 58","индивидуальный одноквартирный жилой дом с количеством этажей - три","На строительство",RU61310002-7,06.03.2014,47.2073321568334,39.6657909326822,"420178,7125","2200292,38"
